title,site,url,salary,salary_min,salary_max,currency,city,responsibility,requirement,date_publication
Рабочий производства/ Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52203891?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,60000,руб.,,Не указаны,Не указаны,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52033583?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,70000,0,руб.,,"Организация занимается проектированием, производством, монтажом и возведением, отделкой деревянных домов, а также их продажей. Обязанности: Выполнение производственного задания.",Не указаны,
Разнорабочий на обувное производство,https://hh.ru/,https://spb.hh.ru/vacancy/52422883?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,20000,0,руб.,,"Выполнять работы связанные с жизнедеятельностью компании, согласно занимаемой должности.","Обучаемость. Ответственность, внимательность, аккуратность.",
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52459363?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,55000,55000,руб.,,"Периодический осмотр состояния зданий, сооружений, и оборудования, их техническое обслуживание и текущий ремонт с выполнением всех видов ремонтно-строительных работ...","Ответственность, пунктуальность, умение работать в команде.",
Разнорабочий (грузчик),https://hh.ru/,https://spb.hh.ru/vacancy/52166497?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,55000,руб.,,"Перемещение грузов на хранение в складские помещения. Упаковка грузов в необходимую тару (стрейч-пленка, картон, коробки, коробы, и т.д.). ",Отсутствие медицинских противопоказаний к поднятию тяжестей. Готовность к оплачиваемым переработкам.,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52816651?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,50000,руб.,,"Работа на складе и производстве, розлив и фасовка продукции.",Ответственность. Внимательность. Трудолюбие.,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52834143?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,0,руб.,,"Haбирaeм рабочих имeющиx грaжданcтво Poсcийской Фeдеpaции, Узбекистана, Таджикистана, Киргизии и стран ЕАЭС. --- Гражданам Узбекистана, Таджикистана помощь в оформлении документов.",Вашим преимуществом будет опыт работы: водитель/дорожный рабочий / разнорабочий / укладка асфальта/ подсобный рабочий / работа Спб.,
Грузчик-разнорабочий (подработка),https://hh.ru/,https://spb.hh.ru/vacancy/52187911?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,0,40000,руб.,,"Переезды квартир и офисов, грузотакси. Погрузка-разгрузка различных товаров, доставка товаров, складские и подсобные работы. Разные виды подсобных работ (на...","Готовность к физическим нагрузкам. В т.ч. студенты, курсанты, работающие вахтовым методом, работающие сутки через трое, желающие подрабатывать в выходные...",
Разнорабочий с навыком работы на высоте,https://hh.ru/,https://spb.hh.ru/vacancy/51616590?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,"Техническое обслуживание станций пригородного сообщения Казанского направления Московской железной дороги ""Выхинский участок"". - Подвешивание рекламных баннеров, оказание специализированных услуг.","Хорошая физическая форма, выносливость. - Отсутствие проблем со зрением, аккуратность, ответственность. - Внимательность, быстрая реакция, скрупулезность. - Допуск на высоту. Навыки: Умение проводить...",
Разнорабочий на стройку СРОЧНО!!!!,https://hh.ru/,https://spb.hh.ru/vacancy/52688519?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,"Разноска, подъем шах пакетов. Монтаж шах пакетов.",Не указаны,
